parameter,variation_%,value,R_delta,Phi,PLV,Re_S,delta_R_%,delta_Phi_%,delta_PLV_%,delta_ReS_%
g,-20.0,0.8640000000000001,0.3455,0.5998,0.3311,77.76,0.0,-3.1,0.0,-20.0
g,-10.0,0.9720000000000001,0.3455,0.6095,0.3311,87.48,0.0,-1.6,0.0,-10.0
g,0.0,1.08,0.3455,0.6192,0.3311,97.2,0.0,0.0,0.0,0.0
g,10.0,1.1880000000000002,0.3455,0.6289,0.3311,106.92,0.0,1.6,0.0,10.0
g,20.0,1.296,0.3455,0.6386,0.3311,116.64,0.0,3.1,0.0,20.0
beta,-20.0,0.7200000000000001,0.3455,0.5688,0.3311,77.76,0.0,-8.1,0.0,-20.0
beta,-10.0,0.81,0.3455,0.594,0.3311,87.48,0.0,-4.1,0.0,-10.0
beta,0.0,0.9,0.3455,0.6192,0.3311,97.2,0.0,0.0,0.0,0.0
beta,10.0,0.9,0.3455,0.6192,0.3311,97.2,0.0,0.0,0.0,0.0
beta,20.0,0.9,0.3455,0.6192,0.3311,97.2,0.0,0.0,0.0,0.0
tau,-20.0,0.024,0.5314,0.6192,0.3311,97.2,53.7,0.0,0.0,0.0
tau,-10.0,0.027,0.4373,0.6192,0.3311,97.2,26.5,0.0,0.0,0.0
tau,0.0,0.03,0.3455,0.6192,0.3311,97.2,0.0,0.0,0.0,0.0
tau,10.0,0.033,0.2591,0.6192,0.3311,97.2,-24.9,0.0,0.0,0.0
tau,20.0,0.036,0.1813,0.6192,0.3311,97.2,-47.4,0.0,0.0,0.0
noise,-20.0,0.4,0.3455,0.6192,0.4044,97.2,0.0,0.0,22.1,0.0
noise,-10.0,0.45,0.3455,0.6192,0.3659,97.2,0.0,0.0,10.5,0.0
noise,0.0,0.5,0.3455,0.6192,0.3311,97.2,0.0,0.0,0.0,0.0
noise,10.0,0.55,0.3455,0.6192,0.2996,97.2,0.0,0.0,-9.5,0.0
noise,20.0,0.6,0.3455,0.6192,0.2711,97.2,0.0,0.0,-18.1,0.0
