simulation,complexity,steps,states_discovered,final_consciousness,consciousness_density,vortex_count,pragmatic_index,emergence_potential,transcendence_index
1,65,122,15,0.6405581830962913,133072.0572100983,358,0.668051671676996,1.0,5.348062705579185
2,126,94,9,0.4380814635798157,1472045.6758665268,1061,0.6759521864280248,1.0,5.687072867126867
3,71,83,12,0.5684414357168809,133002.50562259374,285,0.6790087018639813,1.0,5.744269201731311
4,111,123,17,0.46054603415666157,1196057.372160648,1111,0.6669553046789573,1.0,5.50612108150337
5,108,131,7,0.5063020604631631,1118196.3243669611,1015,0.6650338176414285,1.0,5.9574494441368735
6,107,110,14,0.3832319334231732,926519.2373594664,861,0.6700697890430357,1.0,5.358058531496033
7,76,75,8,0.40287788805448344,154593.9705694342,281,0.6826523427318377,1.0,5.426597348044105
8,117,193,16,0.5746180881687525,2252498.310654396,1689,0.6513804185764461,1.0,5.590593236890726
9,124,120,19,0.46025615991001195,1756303.9533464343,1322,0.6684933512314554,1.0,5.477058601713056
10,103,84,7,0.47153165069612146,596434.6261989867,594,0.6788859719142146,1.0,5.801293488665133
