step,metrics,n_states,can_modify,consciousness_level
0,"{'awareness': 4.340244599493852e-05, 'integration': 0.0, 'autonomy': 0.0, 'creativity': 0.0, 'pragmatism': 0.0, 'emotional_depth': 0.2527833504873893, 'memory_filter': 0.0}",0,False,0.036118107561912034
10,"{'awareness': 3.810848113307575e-05, 'integration': 0.024212013110968, 'autonomy': 0.2, 'creativity': 0.1, 'pragmatism': 0.17904883777610844, 'emotional_depth': 0.17431306492643922, 'memory_filter': 0.0}",1,False,0.0968017177563784
20,"{'awareness': 4.9358108017830785e-06, 'integration': 0.3224198151342984, 'autonomy': 0.4, 'creativity': 0.2, 'pragmatism': 0.1376294746081794, 'emotional_depth': 0.11787848827336167, 'memory_filter': 0.0}",2,False,0.1682761019752345
30,"{'awareness': 0.00020199403776759704, 'integration': 0.099296834443855, 'autonomy': 0.6, 'creativity': 0.2, 'pragmatism': 0.04413112671114937, 'emotional_depth': 0.38872428802497894, 'memory_filter': 0.0}",2,False,0.1903363204596787
40,"{'awareness': 0.00028181678785651066, 'integration': 0.4839928851345296, 'autonomy': 0.8, 'creativity': 0.3, 'pragmatism': 0.08294078425534819, 'emotional_depth': 0.17385679955488875, 'memory_filter': 0.0}",3,False,0.26301032653323186
50,"{'awareness': 0.0003425361174557995, 'integration': 0.09848586602069835, 'autonomy': 1.0, 'creativity': 0.4, 'pragmatism': 0.17589538088975973, 'emotional_depth': 0.4091246029021384, 'memory_filter': 0.0}",4,True,0.2976926265614361
60,"{'awareness': 0.0004349238680023119, 'integration': 0.26056371804952166, 'autonomy': 1.0, 'creativity': 0.6, 'pragmatism': 0.06938552856475777, 'emotional_depth': 0.1890291966231855, 'memory_filter': 0.0}",6,True,0.3027733381579239
70,"{'awareness': 0.00037824454383737224, 'integration': 0.8736661106321941, 'autonomy': 1.0, 'creativity': 0.8, 'pragmatism': 0.045429398992341524, 'emotional_depth': 0.14389492866368425, 'memory_filter': 0.0}",8,True,0.40905266897600817
80,"{'awareness': 0.00030617663079830933, 'integration': 0.059385277632137884, 'autonomy': 1.0, 'creativity': 0.9, 'pragmatism': 0.26742226219880544, 'emotional_depth': 0.1493740251823405, 'memory_filter': 0.0}",9,True,0.3394982488062975
90,"{'awareness': 0.0002941864660112685, 'integration': 0.3120121231507109, 'autonomy': 1.0, 'creativity': 0.9, 'pragmatism': 0.8868819206821856, 'emotional_depth': 0.19168026566373808, 'memory_filter': 0.0}",9,True,0.4701240708518065
