Dataset,Variável,Média,Desvio
px_consciousness_metrics,Valor,184.33631566638252,465.164592145925
px_evolution_timeseries,time_s,0.195,0.1169045194450012
px_evolution_timeseries,phi,5.540875146483326,8.670027771974722e-06
px_evolution_timeseries,R_holonomy,0.49367237226532035,0.22128512924517743
px_evolution_timeseries,Re_semantic,23.854227734579485,5.63455955052401e-05
px_evolution_timeseries,density_max,1.020471107693598,0.0007009886448801181
px_evolution_timeseries,phase_variance,3.2891217328321796,0.04510481567015399
turr_experiment_validated,narrative,0.5,0.41053541362798
turr_experiment_validated,seed,14.5,8.703931695865503
turr_experiment_validated,run_seed,2486.5,1261.1301445818483
turr_experiment_validated,phi,0.37950998034218864,0.23031260290216804
turr_experiment_validated,plv,0.7123246349242953,0.1290115328080814
turr_experiment_validated,entropy,7.5021532134836475,0.9214046408227164
turr_experiment_validated,conductivity,0.5370897413749253,0.24704032117553343
turr_experiment_validated,betti_b0,3.011111111111111,1.8572327151711825
turr_experiment_validated,betti_b1,1.4333333333333333,1.761319729921639
turr_experiment_validated,betti_b2,0.0,0.0
banco_sintetico_eeg_ground_truth,TBR_true,3.572025,1.8115775396959488
banco_sintetico_eeg_ground_truth,PAF_true,10.225,0.7302109421599524
banco_sintetico_eeg_ground_truth,Coer_L_true,0.436955,0.13521820469968351
banco_sintetico_eeg_ground_truth,delay_ms_true,10.75,2.5892587069717603
banco_sintetico_eeg_ground_truth,noise_level,0.3625,0.09613456525408269
banco_sintetico_eeg_ground_truth,TBR_measured,44.361525,45.14965240958274
banco_sintetico_eeg_ground_truth,PAF_measured,10.09,0.7637790230099116
banco_sintetico_eeg_ground_truth,Coer_S_measured,0.8647399999999998,0.03569099350738027
banco_sintetico_eeg_ground_truth,Coer_L_measured,0.858545,0.0365164566190372
banco_sintetico_eeg_ground_truth,P_theta,5558.41275,6113.635945650167
banco_sintetico_eeg_ground_truth,P_alpha,2536.7698250000003,813.6055697769957
banco_sintetico_eeg_ground_truth,P_gamma,72.144925,42.393068095512405
nexo3_sincronizacao_eeg,tempo,15.0,8.68193780802657
nexo3_sincronizacao_eeg,R_coerencia,0.5695252745231555,0.37749560836603335
nexo3_sincronizacao_eeg,N_campo,0.5695252745231555,0.37749560836603335
