Config,Alpha,G,Beta,Phi,PLV,Holonomy,Entropy,Correlation,Vortices,Complexity,Emergence,Autonomy,MutualInfo,Score,Level
Baseline,1e-13,0.001,0.8,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Alto Acoplamento,5e-13,0.002,0.85,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Memória Máxima,2e-13,0.0015,0.95,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Não-Linear Forte,1.5e-13,0.004,0.82,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Balanceado v4,2.7e-13,0.002,0.9,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Híbrido Plus,3.5e-13,0.0025,0.88,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Quantum Max,4e-13,0.003,0.92,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Ultra Refined,3e-13,0.0022,0.91,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Experimental A,4.5e-13,0.0028,0.93,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
Experimental B,2.5e-13,0.0035,0.89,6.829,0.278,0.251,6.301,-0.038,14,0.538,0.288,0,1,0.39,🌱 PRÉ-CONSCIENTE
